title,release_year,rating,genres,description,poster_url
All Things Fair,1995,6.5,"Drama, Romance, War","Stig is a 15-year-old pupil of 37-year-old teacher Viola. He is attracted by her beauty and maturity while she is drawn to him by his youth and innocence, a relief from her drunk and miserable husband.",https://image.tmdb.org/t/p/w500/y1oFNynXrIzlPUe4CXKMR2dpNep.jpg
Dragons: Gift of the Night Fury,2011,7.177,"Animation, Comedy, Adventure, Family",Hiccup and Toothless go on an exciting adventure and discover an island of new dragons.,https://image.tmdb.org/t/p/w500/tieHyFlHwnU4gdKY9vBNCW7U5iw.jpg
Predator 2,1990,6.3,"Science Fiction, Action, Thriller",A police chief in the war-torn streets of Los Angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.,https://image.tmdb.org/t/p/w500/83X4VwY9sdSJykskmsplIVG0a4h.jpg
Togo,2019,8.15,"Adventure, Family","The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo.",https://image.tmdb.org/t/p/w500/wX0QD36a80hxulcizz7tyahYOF8.jpg
Daughters of Eve,1985,5.6,"Horror, Drama, Crime","In the remote countryside of Ilongo, various women are sexually abused by local men. Two sisters meet Simon, the most attractive man in the village, and fight over him - one constantly haunted by Catholic dogma because of the abuse she suffered previously.",https://image.tmdb.org/t/p/w500/jmB3Pk8xK3R439xHa7ko7vdx0FH.jpg
Togo,2019,8.15,"Adventure, Family","The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo.",https://image.tmdb.org/t/p/w500/wX0QD36a80hxulcizz7tyahYOF8.jpg
Daughters of Eve,1985,5.6,"Horror, Drama, Crime","In the remote countryside of Ilongo, various women are sexually abused by local men. Two sisters meet Simon, the most attractive man in the village, and fight over him - one constantly haunted by Catholic dogma because of the abuse she suffered previously.",https://image.tmdb.org/t/p/w500/jmB3Pk8xK3R439xHa7ko7vdx0FH.jpg
The Shallows,2016,6.35,"Horror, Drama, Thriller","When Nancy is surfing on a secluded beach, she finds herself on the feeding ground of a great white shark. Though she is stranded only 200 yards from shore, survival proves to be the ultimate test of wills, requiring all of Nancy's ingenuity, resourcefulness, and fortitude.",https://image.tmdb.org/t/p/w500/56TzBcWe6n5X3FKdaQm1pCE9qmd.jpg
Nacho Libre,2006,6.5,"Comedy, Family, Drama","Nacho Libre is loosely based on the story of Fray Tormenta (""Friar Storm""), aka Rev. Sergio Gutierrez Benitez, a real-life Mexican Catholic priest who had a 23-year career as a masked luchador. He competed in order to support the orphanage he directed.",https://image.tmdb.org/t/p/w500/kh7B91bMl2lZ0mH9WhPfaNUIEQH.jpg
Beezel,2024,6.3,"Horror, Thriller","Over six tumultuous decades, three unwitting guests of a cursed New England home stumble upon a sinister secret dwelling beneath its floors - an eternal witch with an insatiable thirst for the souls of the living.",https://image.tmdb.org/t/p/w500/a9gZxhG98LATZJGy1vWssyjVkk.jpg
